Timestamp,Source_IPv6,Destination_IPv6,Protocol,Length,Info,Attack
0,fe80::f03a:fcb7:df24:1071,fe80::3fca:458b:5308:ca09,ICMPv6,118,"Echo (ping) request id=0xa079, seq=10, hop limit=64 (reply in 2)",0
6.00E-06,fe80::3fca:458b:5308:ca09,fe80::f03a:fcb7:df24:1071,ICMPv6,118,"Echo (ping) reply id=0xa079, seq=10, hop limit=64 (request in 1)",0
0.876906,fe80::f03a:fcb7:df24:1071,fe80::3fca:458b:5308:ca09,ICMPv6,118,"Echo (ping) request id=0xa079, seq=1480, hop limit=64 (reply in 4)",0
0.876914,fe80::3fca:458b:5308:ca09,fe80::f03a:fcb7:df24:1071,ICMPv6,118,"Echo (ping) reply id=0xa079, seq=1480, hop limit=64 (request in 3)",0
1.879208,fe80::f03a:fcb7:df24:1071,fe80::3fca:458b:5308:ca09,ICMPv6,118,"Echo (ping) request id=0xa079, seq=3214, hop limit=64 (reply in 6)",0
1.879215,fe80::3fca:458b:5308:ca09,fe80::f03a:fcb7:df24:1071,ICMPv6,118,"Echo (ping) reply id=0xa079, seq=3214, hop limit=64 (request in 5)",0
2.875503,fe80::f03a:fcb7:df24:1071,fe80::3fca:458b:5308:ca09,ICMPv6,118,"Echo (ping) request id=0xa079, seq=4998, hop limit=64 (reply in 8)",0
2.875508,fe80::3fca:458b:5308:ca09,fe80::f03a:fcb7:df24:1071,ICMPv6,118,"Echo (ping) reply id=0xa079, seq=4998, hop limit=64 (request in 7)",0
3.876685,fe80::f03a:fcb7:df24:1071,fe80::3fca:458b:5308:ca09,ICMPv6,118,"Echo (ping) request id=0xa079, seq=6634, hop limit=64 (reply in 10)",0
3.876696,fe80::3fca:458b:5308:ca09,fe80::f03a:fcb7:df24:1071,ICMPv6,118,"Echo (ping) reply id=0xa079, seq=6634, hop limit=64 (request in 9)",0
4.90024,fe80::f03a:fcb7:df24:1071,fe80::3fca:458b:5308:ca09,ICMPv6,118,"Echo (ping) request id=0xa079, seq=8451, hop limit=64 (reply in 12)",0
4.900249,fe80::3fca:458b:5308:ca09,fe80::f03a:fcb7:df24:1071,ICMPv6,118,"Echo (ping) reply id=0xa079, seq=8451, hop limit=64 (request in 11)",0
5.877782,fe80::f03a:fcb7:df24:1071,fe80::3fca:458b:5308:ca09,ICMPv6,118,"Echo (ping) request id=0xa079, seq=10080, hop limit=64 (reply in 14)",0
5.877788,fe80::3fca:458b:5308:ca09,fe80::f03a:fcb7:df24:1071,ICMPv6,118,"Echo (ping) reply id=0xa079, seq=10080, hop limit=64 (request in 13)",0
6.877725,fe80::f03a:fcb7:df24:1071,fe80::3fca:458b:5308:ca09,ICMPv6,118,"Echo (ping) request id=0xa079, seq=11849, hop limit=64 (reply in 16)",0
6.877734,fe80::3fca:458b:5308:ca09,fe80::f03a:fcb7:df24:1071,ICMPv6,118,"Echo (ping) reply id=0xa079, seq=11849, hop limit=64 (request in 15)",0
7.90423,fe80::f03a:fcb7:df24:1071,fe80::3fca:458b:5308:ca09,ICMPv6,118,"Echo (ping) request id=0xa079, seq=13754, hop limit=64 (reply in 18)",0
7.904246,fe80::3fca:458b:5308:ca09,fe80::f03a:fcb7:df24:1071,ICMPv6,118,"Echo (ping) reply id=0xa079, seq=13754, hop limit=64 (request in 17)",0
8.903544,fe80::f03a:fcb7:df24:1071,fe80::3fca:458b:5308:ca09,ICMPv6,118,"Echo (ping) request id=0xa079, seq=15433, hop limit=64 (reply in 20)",0
8.903554,fe80::3fca:458b:5308:ca09,fe80::f03a:fcb7:df24:1071,ICMPv6,118,"Echo (ping) reply id=0xa079, seq=15433, hop limit=64 (request in 19)",0
9.877598,fe80::f03a:fcb7:df24:1071,fe80::3fca:458b:5308:ca09,ICMPv6,118,"Echo (ping) request id=0xa079, seq=17014, hop limit=64 (reply in 22)",0
